2270-2-8-3,7458-63-83-18
2331-58-83-30,1110-9-93-81
1328-92-84-46,5423-42-76-5
3513-85-3-5,5760-50-97-93
1614-73-53-50,7346-53-29-67
144-17-8-63,7918-9-95-7
7033-60-23-82,3806-70-61-82
5944-85-40-33,1660-65-38-80
191-17-13-60,326-71-92-9
483-7-43-7,6658-59-6-8
1418-52-78-40,9644-95-8-65
5238-31-61-82,7498-90-79-30
3901-62-21-70,1131-64-13-57
6815-47-49-70,6631-87-58-36
3702-3-17-4,6591-86-21-45
1710-96-88-30,3240-55-35-11
8204-97-34-38,4230-77-19-91
2053-58-1-94,3375-66-56-77
4267-49-62-48,9890-93-33-95
803-53-43-57,5465-82-31-51
3422-78-35-90,4919-29-43-70
3715-70-42-47,2290-77-66-43
8059-24-57-86,1810-88-33-19
1412-45-56-26,4880-1-54-45
6861-16-65-14,7632-20-81-51
6130-48-31-94,6629-62-36-93
6638-55-41-53,1277-3-57-6
384-80-28-23,1640-66-3-90
6187-25-10-93,7183-52-31-18
7834-49-70-91,3698-73-92-15
562-99-82-64,8369-11-79-61
7367-49-90-29,7372-80-94-98
4641-16-48-81,6113-98-62-14
7995-61-71-22,2261-54-27-11
708-63-84-71,6966-27-53-31
7800-54-25-22,9009-94-57-4
6984-62-1-97,8669-69-58-48
7029-93-61-48,3564-34-55-43
9937-26-78-63,2098-78-55-66
591-64-18-38,7536-58-77-63
8574-33-94-51,3535-30-28-60
5934-26-48-84,908-58-57-98
3321-82-24-33,2152-59-62-72
2496-26-9-1,8378-64-9-57
762-14-10-20,5261-45-3-23
3287-84-44-38,3221-79-65-10
3523-20-79-35,9529-72-66-57
38-96-73-69,2504-72-97-73
2277-79-47-79,2334-61-46-30
3539-50-79-97,664-17-7-20
5232-57-56-53,5299-64-28-44
9079-18-61-61,8521-54-90-99
5631-82-57-18,2768-3-21-53
8599-92-49-31,2610-38-18-41
4616-9-49-32,8115-79-18-19
81-78-11-51,4580-12-88-25
7028-82-52-82,6683-75-37-92
9191-31-5-51,9351-58-44-49
8198-67-71-26,6941-36-77-3
9627-11-11-81,629-80-12-61
3491-38-80-99,5991-9-25-16
3255-99-25-25,4969-37-49-23
3874-14-92-6,288-39-19-40
9227-69-17-78,8314-4-78-73
1012-66-22-70,842-76-37-29
6195-1-81-72,872-97-25-94
9298-78-12-79,8768-16-93-62
2993-84-20-85,3980-93-45-26
272-16-15-74,7095-26-83-66
7711-27-40-58,4039-61-28-21
6507-1-7-13,3471-51-27-40
4601-59-37-20,869-69-89-39
7367-42-87-54,2640-80-71-46
1389-38-32-14,2104-13-82-18
6427-9-43-29,9178-35-46-50
7518-69-41-93,7659-33-26-93
7215-53-33-74,7981-47-86-70
7690-44-1-29,3266-27-43-44
3468-90-13-21,2620-65-13-47
6294-83-38-70,4373-92-51-57
8187-20-31-83,8992-44-88-90
8109-11-59-14,5601-58-88-21
7906-24-36-87,46-14-16-82
3980-49-83-35,9793-38-1-49
2147-21-53-88,8597-96-99-56
211-71-88-25,3990-31-99-71
8493-16-91-81,8404-18-78-79
7286-23-41-25,3006-16-66-46
1689-26-42-22,3077-66-2-93
4003-35-18-62,8490-48-63-56
2768-46-81-67,3928-53-36-61
618-92-97-73,8820-54-73-66
2828-33-57-37,4497-13-81-39
8992-50-62-44,2605-78-88-78
9692-13-71-91,4437-99-41-76
9411-81-97-85,2717-81-37-74
5489-23-61-29,5655-67-24-39
8319-78-72-57,3649-39-83-58
4930-36-36-79,948-10-56-96
417-77-56-27,3199-14-14-86
9581-33-19-4,9177-88-23-77
93-99-12-86,3372-54-28-45
1165-35-4-65,636-37-74-11
8688-13-69-95,4941-97-53-98
1293-52-57-18,629-83-56-89
1095-19-23-91,1165-38-66-27
9359-66-43-46,988-93-88-34
2261-86-20-19,7100-90-51-72
7755-52-5-44,6175-65-31-3
3578-16-69-67,5271-45-41-72
3151-18-56-47,7943-31-41-32
3384-80-12-58,8336-98-7-49
2680-68-52-95,6494-67-23-8
2223-75-24-96,5644-18-32-26
6683-56-76-22,7403-97-93-38
4996-23-35-12,8519-62-93-59
884-12-46-85,8169-91-66-97
1174-66-10-44,6436-40-53-86
2757-49-37-92,8036-42-73-5
6171-30-90-96,1559-66-79-13
857-94-25-50,479-74-10-89
480-7-22-19,2872-22-88-51
6512-61-42-75,9388-50-85-59
4913-43-37-78,2140-29-78-60
8468-10-23-31,8195-45-13-25
3505-71-69-23,5828-87-87-4
2318-10-31-44,3531-48-4-90
5136-54-78-49,573-24-88-94
1012-91-29-50,6272-32-3-39
6442-33-2-39,809-97-45-26
5244-18-11-71,1439-36-60-56
4647-14-26-25,8170-33-8-28
3866-72-91-30,646-20-68-56
2803-94-4-27,9900-24-55-68
9496-44-67-92,3351-20-31-19
4346-18-11-95,7025-69-10-87
3052-49-65-26,4508-94-75-61
368-88-4-33,2224-78-56-76
6953-21-3-20,8573-91-24-84
819-22-86-63,9442-58-48-25
3045-57-49-13,8871-60-29-52
8552-64-4-95,5105-84-47-71
3428-13-71-29,5911-92-79-25
1388-50-14-73,7268-9-96-47
6852-75-39-69,8069-36-95-12
5724-8-49-26,2400-44-86-18
4074-4-71-24,1722-91-2-84
5730-94-7-15,6825-14-97-77
2215-71-38-21,8183-54-55-25
3062-43-21-92,5916-57-2-22
4922-29-86-9,5220-18-4-7
1411-56-95-96,7148-20-98-3
9361-26-95-39,8732-79-43-89
2420-63-62-8,4842-58-67-37
3118-89-71-89,433-30-15-66
6490-32-62-58,6382-36-66-27
2898-75-43-61,8703-71-28-74
1832-8-19-86,2469-78-15-64
4833-47-51-58,4245-1-94-57
4355-49-47-75,1653-54-35-42
1050-52-68-84,3372-9-20-76
1821-97-8-66,724-19-49-91
9674-84-35-59,2393-44-45-63
9578-74-90-14,920-1-92-71
9594-24-37-75,5501-21-61-30
7191-73-69-8,3953-43-26-62
706-86-48-35,823-98-73-42
3033-85-99-72,6229-59-75-63
3804-94-35-48,660-45-64-81
2776-75-13-35,4351-42-10-50
4761-50-32-95,8771-12-46-77
1900-26-25-25,9952-17-98-20
3943-67-24-6,8790-26-32-10
6120-16-28-96,7382-99-34-67
5430-99-41-70,9183-78-20-98
1091-86-67-1,1798-48-24-34
699-8-32-21,4480-51-2-11
5712-21-8-84,4986-94-50-52
9708-71-39-70,6051-80-70-74
3875-43-19-83,5625-43-78-48
2281-70-85-59,625-27-80-30
4718-72-97-76,4575-88-77-35
8288-60-88-36,5455-77-64-31
6430-69-99-64,4631-94-5-68
2930-60-44-25,1090-15-41-23
8411-90-77-32,7780-19-96-24
1560-98-28-61,7950-22-76-16
1848-36-53-68,8214-28-39-89
2710-90-18-75,8632-22-35-2
1706-83-34-78,3638-24-43-42
4390-52-68-74,9896-32-36-97
7817-25-1-61,5587-32-76-23
1992-97-8-4,2132-40-77-36
1971-2-35-88,5145-34-59-38
9452-52-67-66,5215-4-30-27
367-46-80-42,5116-26-84-21
5299-99-27-71,5525-4-84-86
4053-9-8-51,6376-34-60-11
2208-98-9-78,4769-12-93-51
1328-50-48-4,1723-2-77-91
3104-97-61-6,2832-21-16-50
9394-67-48-60,4846-33-37-30
2929-66-88-73,9775-78-90-36
4630-38-71-45,880-87-93-86
5742-99-29-71,4714-77-84-2
1782-63-90-55,3467-57-85-49
1784-73-79-9,7676-49-2-18
5833-75-22-85,2610-82-68-16
4271-65-32-69,3236-70-12-95
8349-3-51-34,2224-54-74-9
8996-53-19-92,4121-33-41-3
8101-61-33-80,6119-92-68-30
2010-70-37-66,2012-98-72-97
2580-58-33-85,3866-37-44-96
2443-5-26-69,92-26-78-47
1635-62-19-44,6096-56-97-11
6422-32-36-11,9571-47-42-95
4058-22-1-40,7213-39-45-96
7675-92-2-25,1111-20-60-82
8954-52-47-55,8256-25-64-10
6142-12-28-44,2676-74-33-15
964-1-11-16,2712-78-40-39
1876-26-96-2,2570-24-37-10
8235-3-26-46,9551-89-79-19
87-86-85-66,5514-23-83-7
3140-29-82-56,6601-91-92-87
1958-18-67-13,4109-67-55-49
6666-72-61-7,1501-97-72-74
8462-81-33-18,8893-7-47-33
7261-60-91-81,1052-2-6-5
5889-84-88-28,5732-51-35-11
1987-27-63-63,1206-34-92-50
6051-59-88-67,2235-70-93-80
4159-54-59-29,9945-91-7-6
2692-39-23-17,4951-90-76-28
495-25-18-85,8108-8-81-15
7773-89-95-69,9439-76-11-2
9131-63-9-53,853-74-11-97
6535-37-14-28,7665-87-32-95
4564-96-23-37,8052-71-81-59
1877-79-13-73,7429-70-46-31
5696-18-63-65,1024-19-97-28
4784-99-45-17,3950-85-71-46
6270-68-80-60,7247-57-72-5
2473-75-28-79,9299-96-73-66
8994-30-88-11,7385-88-32-79
3229-91-17-62,8958-56-20-25
1156-80-13-27,418-41-71-7
7379-60-94-26,1981-99-43-75
2418-90-86-7,6418-96-1-64
9010-60-7-44,7813-19-87-21
8643-40-83-40,4266-36-29-79
1685-32-26-85,933-93-32-66
4815-94-69-80,194-68-82-14
2504-22-97-4,6110-51-70-68
4764-55-26-37,9657-68-77-50
1423-64-88-6,4563-77-84-35
3312-10-67-43,999-56-93-36
6650-28-51-7,5420-83-83-30
4746-67-52-17,6298-76-53-75
1969-48-13-9,91-63-23-6
1400-1-52-67,3043-83-70-2
8970-9-69-64,6993-89-53-24
266-13-58-73,8204-15-51-62
6599-52-24-26,8074-89-64-33
4117-79-40-78,9780-87-68-98
1975-90-28-37,3232-36-15-99
1089-27-6-28,1577-72-34-91
8201-49-78-65,1431-59-58-77
1547-11-94-86,5679-89-54-5
4359-89-68-31,6681-19-4-96
1411-66-56-12,2798-44-39-36
6372-7-46-24,1757-55-17-66
3847-58-66-92,2060-91-57-4
5806-31-28-63,8663-33-85-88
7822-53-59-77,8293-12-92-28
370-35-83-75,1867-83-21-8
8137-63-92-83,922-20-35-47
112-49-69-25,8996-4-10-37
9256-44-9-74,197-71-60-79
9532-52-54-82,8419-59-3-91
3371-48-50-50,9897-39-37-13
3552-37-86-41,1142-65-47-42
1929-27-8-67,8289-69-43-4
7798-15-45-85,1553-9-25-51
6873-18-65-93,2927-39-31-71
9318-36-49-98,4647-48-94-81
572-33-62-73,6762-54-31-4
5760-60-17-60,3585-32-54-74
3352-39-11-76,6736-62-37-68
8085-68-82-7,5097-83-92-88
5872-76-63-37,8249-10-53-11
6421-64-21-93,3959-81-82-76
4886-13-95-61,2191-94-94-53
2400-16-51-18,414-30-37-48
4759-70-19-72,8199-15-1-22
6969-53-88-56,2846-25-26-65
2566-63-44-46,6083-31-82-8
3895-15-1-62,4904-43-6-15
3269-23-12-52,4191-90-14-81
3194-68-89-88,3917-87-66-47
600-10-14-4,9799-73-72-66
5015-24-45-83,6335-26-44-7
763-87-20-57,5242-49-19-77
2512-85-80-76,3020-55-24-75
4032-52-79-36,6758-41-16-21
4414-60-69-34,8721-87-20-3
2030-46-72-86,3811-11-3-26
5235-70-20-51,5608-75-49-90
8457-68-67-83,1681-58-19-24
5786-15-16-51,1207-68-46-49
6455-60-17-11,8908-57-55-79
3191-38-40-30,6498-77-24-55
3151-13-27-35,7936-54-44-59
3208-77-16-63,590-26-18-58
3430-33-94-17,8318-70-25-87
4772-11-10-23,1997-40-4-35
6854-71-45-10,4342-42-73-5
6766-7-84-55,6982-78-31-27
2722-83-21-82,1173-95-89-2
8795-7-30-25,4532-99-80-30
2352-34-27-58,763-25-8-99
6529-74-83-79,488-46-59-18
3198-3-70-76,1066-30-29-10
3930-95-41-62,4305-27-46-35
1926-75-34-31,1916-87-60-33
6802-42-15-26,4479-46-76-78
5621-48-75-82,4808-98-36-38
7695-25-90-13,3977-1-99-45
8477-21-20-65,4438-40-31-59
2465-54-50-85,9579-18-83-82
1826-11-6-94,601-44-24-46
5498-67-84-98,6001-9-9-35
4443-25-22-52,9159-80-78-72
9693-14-21-66,4594-15-70-18
5533-8-22-12,9383-57-14-71
7842-10-4-32,9914-44-7-71
8694-18-44-32,475-80-56-76
3379-69-80-18,7228-48-16-81
6268-15-74-39,3547-17-91-46
7496-98-30-53,9542-83-79-45
3730-7-56-11,4530-85-37-27
7639-47-5-96,856-78-1-9
3301-4-50-19,1632-24-4-80
4626-76-45-59,5020-1-61-75
27-29-20-14,1495-15-90-49
942-68-84-63,2125-77-78-94
4641-2-6-22,7768-46-68-15
1998-76-35-56,6759-78-33-11
2870-36-67-13,9585-27-13-51
9034-67-78-70,7509-85-48-43
4068-13-69-44,1486-58-65-23
7673-48-66-15,1653-14-55-96
4576-71-95-8,6366-56-43-30
32-12-85-49,1280-55-82-86
6293-92-90-75,6873-50-40-40
1968-88-25-73,1528-42-15-99
2602-40-47-40,3932-55-24-62
6873-17-85-56,6688-91-2-93
5689-87-35-27,6402-51-18-28
4637-18-24-19,2170-1-52-64
5517-62-59-42,7735-76-6-73
3032-7-56-97,6903-6-97-70
5980-25-36-55,3204-23-76-99
1135-40-12-61,274-62-51-22
4971-25-41-73,4283-43-22-76
7331-92-35-14,1255-79-3-72
4776-70-98-46,8001-28-97-93
2029-85-47-21,4619-69-90-17
6540-68-31-96,3178-12-97-86
2099-36-67-11,7067-43-56-43
2572-82-19-5,5030-26-50-82
1479-70-55-78,3618-30-58-60
6487-13-61-17,1775-46-29-35
3793-38-12-50,5970-19-58-95
4082-54-85-3,8367-4-59-80
9131-79-29-79,4783-16-95-39
4218-57-9-69,8308-15-57-3
2092-28-14-98,6715-17-12-33
9368-8-94-66,5636-45-13-84
2155-66-91-29,3706-95-49-78
1774-9-94-19,6355-89-46-64
7348-63-50-25,7777-70-9-90
8578-96-51-93,3442-54-28-19
7178-81-39-88,7717-2-36-31
2064-69-4-28,879-5-51-94
6800-68-23-38,5877-99-50-62
8224-36-77-89,485-83-49-30
8120-91-62-67,8895-16-45-51
5926-38-80-18,1817-44-20-44
7297-30-42-99,5357-90-9-80
8788-74-38-76,12-3-53-29
8086-47-66-13,498-29-81-18
5301-47-15-10,8961-36-74-37
6829-46-30-5,9122-87-32-52
312-83-2-27,7699-84-19-65
9484-15-36-66,97-62-77-21
8780-88-97-48,7101-75-13-19
6842-20-37-40,402-40-23-71
9978-72-38-98,4055-50-1-17
9796-54-89-49,6349-69-74-83
3615-83-79-94,4222-77-12-30
376-50-26-52,7017-48-54-1
4264-96-34-83,1846-99-67-7
2264-70-94-79,5956-51-66-66
8973-64-63-77,1128-2-63-68
1517-33-96-82,5339-86-6-69
5334-67-75-82,4434-79-52-36
8302-82-71-62,9293-55-30-45
9845-99-28-46,704-22-91-96
2583-3-62-12,7050-19-82-67
4476-97-83-29,1362-52-80-23
2618-60-81-8,5261-7-97-65
5088-96-64-19,3159-29-40-95
4190-37-38-60,6258-87-88-42
7050-12-14-2,8004-22-94-21
4918-47-78-38,8298-82-89-78
60-17-99-90,1915-46-10-26
5034-45-79-33,2147-87-72-97
7569-73-9-2,6715-19-32-6
3738-15-39-63,4712-10-52-67
9018-77-83-13,6590-54-63-46
6910-42-4-6,7474-55-39-93
1356-6-2-70,5254-31-27-11
2330-35-21-90,3871-28-10-32
120-72-35-79,8640-26-68-43
5316-67-68-7,9705-83-76-40
1231-36-75-49,1497-28-25-14
3793-97-96-92,3106-26-17-61
9381-6-12-84,5813-18-93-69
9010-87-54-92,4287-44-50-1
